"","BsmtFinSF2","LowQualFinSF","EnclosedPorch","ThreeSsnPorch","ScreenPorch","PoolArea","MiscVal","MasVnrArea","SecondFlrSF","WoodDeckSF","OpenPorchSF","LotFrontage","LotArea","YearBuilt","YearRemodAdd","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","FirstFlrSF","GrLivArea","GarageYrBlt","GarageArea","YrSold"
"1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","0","1st_bin",65,8450,2003,2003,706,150,856,856,1710,2003,548,2008
"2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","2nd_bin","0",80,9600,1976,1976,978,284,1262,1262,1262,1976,460,2007
"3",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","0","1st_bin",68,11250,2001,2002,486,434,920,920,1786,2001,608,2008
"4",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","0","1st_bin",60,9550,1915,1970,216,540,756,961,1717,1998,642,2006
"5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","2nd_bin","1st_bin","1st_bin",84,14260,2000,2000,655,490,1145,1145,2198,2000,836,2008
"6",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"0","1st_bin","1st_bin","1st_bin",85,14115,1993,1995,732,64,796,796,1362,1993,480,2009
"7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","2nd_bin","1st_bin",75,10084,2004,2005,1369,317,1686,1694,1694,2004,636,2007
"8",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"1st_bin","2nd_bin","2nd_bin","2nd_bin",70.0499583680267,10382,1973,1973,859,216,1107,1107,2090,1973,484,2009
"9",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","2nd_bin","1st_bin","0",51,6120,1931,1950,0,952,952,1022,1774,1931,468,2008
"10",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",50,7420,1939,1950,851,140,991,1077,1077,1939,205,2008
"11",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",70,11200,1965,1965,906,134,1040,1040,1040,1965,384,2008
"12",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","3rd_bin","1st_bin","1st_bin",85,11924,2005,2006,998,177,1175,1182,2324,2005,736,2006
"13",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"0","0","1st_bin","0",70.0499583680267,12968,1962,1962,737,175,912,912,912,1962,352,2008
"14",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","1st_bin","1st_bin",91,10652,2006,2007,0,1494,1494,1494,1494,2006,840,2007
"15",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"1st_bin","0","0","2nd_bin",70.0499583680267,10920,1960,1960,733,520,1253,1253,1253,1960,352,2008
"16",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","1st_bin","1st_bin",51,6120,1929,2001,0,832,832,854,854,1991,576,2007
"17",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"1st_bin","0","0","0",70.0499583680267,11241,1970,1970,578,426,1004,1004,1004,1970,480,2010
"18",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"0","0","0","0",72,10791,1967,1967,0,0,0,1296,1296,1967,516,2006
"19",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","1st_bin",66,13695,2004,2004,646,468,1114,1114,1114,2004,576,2008
"20",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",70,7560,1958,1965,504,525,1029,1339,1339,1958,294,2009
"21",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1st_bin","3rd_bin","2nd_bin","2nd_bin",101,14215,2005,2006,0,1158,1158,1158,2376,2005,853,2006
"22",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"0","0","0","0",57,7449,1930,1950,0,637,637,1108,1108,1930,280,2007
